TransactionID,CustomerID,Date,ProductID,ProductName,Category,Quantity,PricePerUnit,PaymentMethod,Status,TotalAmount,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,WebsiteClickRate,TimeSpentOnSite,SocialMediaEngagement,AdClickHistory,CustomerSentimentScore,Churn,AcquisitionSource
T00023,C0297,2024-01-19,P202,Center,Home Goods,4,18.95,Credit Card,Completed,75.8,20.0,Female,Waltonhaven,Silver,31,4237.8,Fitness,2025-01-15,9.72,11.8,Low,10.01,0.67,0,Social Media - X
T00024,C0095,2024-08-27,P489,Win,Home Goods,5,82.81,Debit Card,Pending,414.05,,Male,Holmesland,Platinum,45,972.66,Electronics,2023-11-28,6.64,13.66,Low,12.08,0.89,1,Social Media - X
T00025,C0132,2024-07-26,P770,Mother,Fitness,4,149.19,Debit Card,Canceled,596.76,30.0,Female,Kennethmouth,Gold,96,1422.2,Home Goods,2024-10-19,3.32,14.78,Medium,17.83,0.33,0,Online Ads
T00026,C0425,2024-12-22,P926,Hear,Clothing,3,77.25,Debit Card,Pending,231.75,57.0,Male,Davidport,Platinum,34,7559.16,Home Goods,2023-09-26,3.64,27.26,Medium,2.35,0.79,1,Social Media - Facebook
T00027,C0268,2024-09-05,P583,Prove,Clothing,5,370.01,Credit Card,Completed,1850.05,60.0,Female,Mitchellmouth,Platinum,61,5727.65,Clothing,2023-03-09,7.52,20.85,Medium,8.15,0.67,1,Online Ads
T00028,C0331,2023-10-26,P148,Seek,Home Goods,3,5.85,Debit Card,Completed,17.549999999999997,59.0,Female,Jasonmouth,Gold,38,4612.95,Electronics,2023-12-14,8.08,19.74,Medium,7.37,0.98,1,Online Ads
T00029,C0022,2023-02-08,P845,Public,Home Goods,2,460.16,Debit Card,,920.32,44.0,Male,Allenland,Silver,22,1810.89,Clothing,2023-06-11,1.66,13.95,Medium,16.61,0.32,0,Outlet
T00030,C0427,2023-04-02,P829,Happy,Electronics,4,481.1,Debit Card,Completed,1924.4,60.0,Male,Port Meganfort,Platinum,9,9710.57,Clothing,2024-06-01,5.04,7.66,Medium,5.01,0.43,1,Outlet
T00031,C0135,2024-06-21,P548,Allow,Accessories,3,406.16,Apple Pay,Completed,1218.48,,Male,,Silver,75,4021.56,Clothing,2023-08-19,5.78,14.5,High,8.22,0.57,1,Online Ads
T00032,C0027,2023-01-26,P685,Newspaper,Clothing,4,32.7,Apple Pay,Pending,130.8,37.0,Female,Port Chadtown,Platinum,86,5724.27,Home Goods,2023-07-19,3.81,14.29,Medium,4.28,0.9,0,Online Ads
T00033,C0495,2024-06-14,P213,Trouble,Fitness,1,34.61,PayPal,Canceled,34.61,39.0,Female,North Michaelburgh,Bronze,80,8091.19,Clothing,2023-07-15,7.16,20.67,Medium,5.71,0.89,1,Online Ads
T00034,C0044,2023-12-14,P825,,Fitness,2,482.77,Credit Card,Completed,965.54,19.0,Male,Hendersonstad,Platinum,63,724.73,Electronics,2024-12-28,4.37,29.5,Medium,14.92,0.73,0,Outlet
T00035,C0246,2024-05-13,P103,Person,Accessories,5,493.82,Credit Card,Completed,2469.1,52.0,Male,East Markside,Platinum,69,4169.57,Home Goods,2024-11-03,5.41,14.92,High,1.21,0.35,0,Online Ads
T00036,C0144,2023-03-19,P340,Approach,Clothing,5,494.27,PayPal,Completed,2471.35,36.0,Male,Oscarburgh,Platinum,19,2544.06,Fitness,2023-05-08,2.08,14.4,High,5.01,0.62,0,Online Ads
T00037,C0316,2024-07-13,P946,,Clothing,4,29.57,PayPal,Canceled,118.28,38.0,Male,Marshallchester,Platinum,2,7770.37,Electronics,2023-06-04,3.51,23.64,Medium,5.37,0.67,0,Online Ads
T00038,C0500,2024-05-16,P269,Imagine,Home Goods,3,359.88,Apple Pay,Pending,1079.6399999999999,60.0,Male,Lake Bonnieberg,Gold,96,4279.58,Accessories,2024-07-25,6.25,5.46,Medium,11.13,0.72,1,Outlet
T00039,C0260,2024-12-26,P389,Often,Clothing,2,157.46,Credit Card,Pending,314.92,35.0,Male,Karenmouth,Platinum,95,3857.9,Clothing,2024-05-14,6.82,20.0,Medium,11.98,0.86,0,Social Media - TikTok
T00040,C0026,2025-01-01,P113,Section,Clothing,5,192.68,Debit Card,,963.4000000000001,35.0,Female,East Dakota,Bronze,9,5452.56,Home Goods,2023-05-31,2.83,8.14,Low,13.87,0.57,1,Online Ads
T00041,C0088,2024-07-15,P318,Both,Clothing,3,285.55,Debit Card,Pending,856.6500000000001,32.0,Male,South Christopher,Bronze,97,7690.18,Clothing,2025-01-07,9.79,29.01,Low,13.18,0.43,0,Social Media - TikTok
T00042,C0030,2023-05-06,P505,Case,Fitness,4,214.43,Apple Pay,Pending,857.72,59.0,Male,Jenniferfurt,,33,5683.07,Clothing,2023-07-22,1.2,21.99,Medium,5.55,0.72,0,Outlet
T00043,C0377,2024-04-09,P553,House,Electronics,1,17.99,Apple Pay,Completed,17.99,19.0,Male,Millerchester,Gold,26,2095.77,Electronics,2023-11-01,4.31,28.45,Medium,12.96,0.79,0,Outlet
T00044,C0045,2023-04-05,P966,Son,Fitness,4,481.73,Credit Card,Pending,1926.92,37.0,Female,Lake Courtney,Gold,65,9981.82,Clothing,2024-10-06,3.12,11.04,Medium,4.84,0.77,0,Social Media - TikTok
T00045,C0095,2024-02-04,P417,Result,Accessories,1,313.72,PayPal,Pending,313.72,,Male,Holmesland,Platinum,45,972.66,Electronics,2023-11-28,6.64,13.66,Low,12.08,0.89,1,Social Media - X
T00046,C0190,2024-12-18,P869,Scene,Accessories,4,213.2,Apple Pay,Pending,852.8,41.0,Female,Chanton,Silver,80,4155.1,Electronics,2024-01-25,9.96,10.09,Low,4.15,0.31,0,Social Media - TikTok
T00047,C0263,2024-06-05,P561,Party,Clothing,1,127.38,Apple Pay,Canceled,127.38,35.0,Male,South Harold,Platinum,16,3286.37,Clothing,2023-06-05,2.2,24.56,Medium,15.96,0.6,0,Outlet
T00048,C0372,2024-09-02,P148,Theory,Clothing,2,401.76,Debit Card,,803.52,54.0,Female,Port Rhondastad,Silver,73,8910.24,Accessories,2024-02-06,4.9,23.57,Low,17.28,0.75,1,Outlet
T00049,C0033,2023-09-25,P402,Public,Clothing,5,135.91,Debit Card,Pending,679.55,30.0,Male,West Jeremy,Gold,2,1190.69,Electronics,2024-10-02,2.15,22.69,Medium,19.68,0.75,1,Online Ads
T00050,C0099,2023-03-25,P403,Which,Home Goods,5,355.56,PayPal,Pending,1777.8,52.0,Female,Stacyburgh,,68,5539.69,Accessories,2023-05-26,6.87,26.1,Low,5.71,0.71,0,Outlet
T00051,C0002,2024-05-31,P396,Night,Home Goods,4,131.89,,Pending,527.56,37.0,Female,Walkerport,Bronze,1,7247.4,Accessories,2024-09-14,8.37,25.48,High,6.3,0.71,1,Online Ads
T00052,C0202,2024-07-30,P670,Data,Home Goods,2,398.99,Debit Card,Completed,797.98,43.0,Female,Kathrynberg,Bronze,64,2493.43,Electronics,2024-11-24,7.76,9.43,Medium,9.78,0.7,0,Social Media - Instagram
T00053,C0115,2024-08-26,P290,Ok,Fitness,3,491.67,Debit Card,Completed,1475.01,53.0,Female,Lake Bradley,Silver,4,6688.25,Clothing,2024-03-23,5.44,28.99,Low,17.25,0.43,1,Outlet
T00054,C0237,2023-05-05,P951,Out,Electronics,4,80.72,Debit Card,Pending,322.88,36.0,Male,New Debra,Silver,49,3993.45,Fitness,2024-08-04,2.45,29.0,High,11.91,0.72,0,Outlet
T00055,C0048,2024-03-17,P596,Wonder,Electronics,4,198.12,Debit Card,Pending,792.48,30.0,Male,North Erinburgh,Platinum,38,1646.67,Electronics,2024-10-28,5.31,17.6,Medium,10.29,0.77,0,Online Ads
T00056,C0482,2024-11-16,P141,Part,Fitness,5,60.16,PayPal,Pending,300.79999999999995,39.0,Male,Charleston,Gold,13,7610.38,Clothing,2023-08-03,8.4,11.27,High,9.92,0.8,1,Outlet
T00057,C0407,2023-12-11,P977,Staff,Clothing,1,215.56,PayPal,Canceled,215.56,45.0,Female,South Jasonville,Gold,75,5690.24,Electronics,2023-08-07,2.02,16.76,Medium,2.51,0.78,1,Social Media - X
T00058,C0494,2024-08-09,P439,Star,Electronics,3,119.22,PayPal,Pending,357.65999999999997,24.0,Female,New Darlene,Bronze,17,4016.34,Home Goods,2023-11-30,2.41,6.93,Medium,7.85,0.71,0,Outlet
T00059,C0412,2023-11-20,P315,,Accessories,2,316.96,Apple Pay,,633.92,48.0,Female,Warrenport,Bronze,45,1742.95,Clothing,2023-10-03,7.06,11.35,Low,9.49,0.87,0,Online Ads
T00060,C0479,2024-06-05,P713,,Accessories,1,297.13,PayPal,Canceled,297.13,60.0,Female,Martinezview,Gold,99,9548.94,Clothing,2023-01-19,8.32,20.82,Low,2.6,0.31,0,Outlet
T00061,C0095,2024-05-06,P391,New,Accessories,4,111.64,Credit Card,Pending,446.56,,Male,Holmesland,Platinum,45,972.66,Electronics,2023-11-28,6.64,13.66,Low,12.08,0.89,1,Social Media - X
T00062,C0128,2023-08-05,P656,Speech,Electronics,3,101.74,PayPal,Pending,305.21999999999997,65.0,Male,New Isabelview,Silver,19,8828.34,Fitness,2023-05-18,4.86,18.25,Medium,9.4,0.72,0,Social Media - TikTok
T00063,C0049,2024-11-09,P916,Be,Electronics,5,133.81,PayPal,Completed,669.05,63.0,Female,East Kimberlyshire,Silver,32,5879.89,Clothing,2024-09-15,7.6,13.12,Low,16.44,0.64,1,Social Media - X
T00064,C0371,2023-05-30,P206,Seat,Accessories,1,97.44,Apple Pay,Pending,97.44,41.0,Female,Gonzalezland,Bronze,21,8567.54,Accessories,2023-08-08,5.57,29.87,Medium,19.95,0.79,1,Online Ads
T00065,C0038,2024-09-07,P313,Fear,Fitness,1,334.38,PayPal,Canceled,334.38,22.0,Male,West Laura,Gold,8,1957.55,Electronics,2023-07-30,4.34,14.47,Medium,3.38,0.56,1,Outlet
T00066,C0248,2024-04-27,P594,Indeed,Clothing,2,423.03,Debit Card,Canceled,846.06,38.0,Male,Scottland,Gold,14,4723.57,Home Goods,2023-04-24,9.8,20.23,Medium,2.67,0.85,1,Online Ads
T00067,C0013,2024-09-13,P834,A,Home Goods,3,339.69,,Completed,1019.0699999999999,32.0,Female,Kathrynport,Silver,74,6705.82,Accessories,2023-09-18,2.35,6.32,Medium,7.72,0.71,0,Online Ads
T00068,C0264,2024-07-26,P766,Address,Accessories,4,441.05,Debit Card,Completed,1764.2,57.0,Female,Andrewfort,Platinum,36,4250.25,Electronics,2023-12-19,8.0,22.53,High,15.89,0.39,0,Social Media - X
T00069,C0194,2024-10-10,P491,Food,Electronics,1,333.74,Credit Card,Pending,333.74,47.0,,Michaelberg,Silver,68,4898.5,Fitness,2023-11-11,8.62,26.57,Low,9.66,0.61,0,Outlet
T00070,C0233,2024-04-11,P322,Remember,Clothing,2,368.77,Debit Card,Canceled,737.54,19.0,Female,Lake Darlene,Bronze,60,8378.76,Fitness,2023-04-06,4.48,26.53,High,10.99,0.57,0,Outlet
T00071,C0315,2023-08-31,P955,Approach,Accessories,2,319.59,Credit Card,Canceled,639.18,34.0,Female,Lisaville,Platinum,5,5709.36,Fitness,2024-12-24,7.18,25.26,Low,8.24,0.79,0,Online Ads
T00072,C0495,2024-04-07,P277,Smile,Fitness,2,178.93,,Pending,357.86,39.0,Female,North Michaelburgh,Bronze,80,8091.19,Clothing,2023-07-15,7.16,20.67,Medium,5.71,0.89,1,Online Ads
T00073,C0083,2023-11-11,P389,,Clothing,4,41.2,Apple Pay,Completed,164.8,47.0,Male,New Samuelburgh,Platinum,82,1815.09,Clothing,2023-04-30,4.53,23.87,Medium,18.17,0.69,0,Online Ads
T00074,C0273,2023-07-25,P705,Everything,Electronics,4,474.58,PayPal,Canceled,1898.32,40.0,Male,New Troystad,Silver,3,7451.26,Electronics,2023-03-11,5.44,21.59,Low,1.15,0.43,1,Outlet
T00075,C0077,2023-12-17,P853,Action,Electronics,1,242.22,PayPal,Canceled,242.22,49.0,Female,Rosarioside,Bronze,34,485.91,Home Goods,2023-10-26,1.44,21.68,Medium,10.12,0.98,0,Outlet
T00076,C0436,2023-03-24,P610,Performance,Fitness,5,187.3,PayPal,Canceled,936.5,37.0,Male,Lake Christopher,Silver,65,5693.12,Fitness,2024-08-30,8.7,24.82,High,11.9,0.41,0,Outlet
T00077,C0172,2024-12-05,P792,Officer,Clothing,4,472.52,Apple Pay,Completed,1890.08,55.0,Female,North Robert,Platinum,59,9528.48,Electronics,2023-09-15,1.62,25.56,Medium,6.54,0.78,1,Social Media - X
T00078,C0400,2023-05-20,P544,Light,Home Goods,1,138.38,,Pending,138.38,32.0,Female,South Ryanbury,Platinum,41,9405.74,Clothing,2023-03-01,7.46,7.97,Medium,17.37,0.72,0,Outlet
T00079,C0257,2024-04-07,P462,,Electronics,2,312.52,Credit Card,Canceled,625.04,19.0,,Williamsland,Silver,32,8648.16,Fitness,2024-01-08,9.71,12.56,Low,10.41,0.72,0,Social Media - TikTok
T00080,C0468,2023-07-17,P769,Blue,Home Goods,4,64.54,Debit Card,,258.16,23.0,Male,South Andrew,,83,3568.25,Fitness,2024-01-14,9.0,10.86,Medium,7.41,0.93,1,Outlet
T00081,C0282,2023-11-19,P442,Defense,Home Goods,2,336.97,PayPal,Pending,673.94,47.0,Female,West Keithton,Gold,46,7431.38,Home Goods,2024-05-07,2.34,14.97,Medium,8.59,0.76,1,Online Ads
T00082,C0425,2024-01-15,P559,Authority,Clothing,2,432.3,Credit Card,Pending,864.6,57.0,Male,Davidport,Platinum,34,7559.16,Home Goods,2023-09-26,3.64,27.26,Medium,2.35,0.79,1,Social Media - Facebook
T00083,C0014,2023-11-16,P235,Music,Home Goods,5,123.91,Apple Pay,Completed,619.55,58.0,Female,Lifort,Silver,81,9102.23,Fitness,2023-03-07,1.43,29.0,High,14.25,0.74,0,Online Ads
T00084,C0497,2024-12-27,P531,Key,Home Goods,4,228.75,Debit Card,Pending,915.0,42.0,Female,North Billyborough,Gold,68,3767.29,Fitness,2024-10-18,2.53,27.6,Low,1.09,0.59,0,Outlet
T00085,C0070,2024-07-07,P680,Him,Accessories,3,257.19,Debit Card,Completed,771.5699999999999,43.0,Female,,Platinum,74,6611.02,Home Goods,2024-05-01,5.45,12.8,Medium,1.86,0.66,0,Online Ads
T00086,C0013,2024-03-23,P857,Major,Electronics,4,158.08,Apple Pay,Canceled,632.32,32.0,Female,Kathrynport,Silver,74,6705.82,Accessories,2023-09-18,2.35,6.32,Medium,7.72,0.71,0,Online Ads
T00087,C0266,2023-12-27,P714,Writer,Fitness,4,428.45,Apple Pay,Completed,1713.8,52.0,Female,North Derekbury,Bronze,32,1350.53,Fitness,2023-04-03,5.05,28.43,Low,10.94,0.61,0,Outlet
T00088,C0453,2023-04-14,P319,Fact,Fitness,3,36.84,PayPal,Pending,110.52000000000001,58.0,Female,West Elizabethberg,Gold,50,9246.0,Clothing,2023-10-16,4.86,23.43,Medium,10.7,0.53,0,Online Ads
T00089,C0114,2024-03-20,P244,Would,Clothing,4,403.76,Apple Pay,Canceled,1615.04,58.0,Female,Cameronbury,Silver,62,8619.66,Electronics,2024-06-16,6.13,12.74,Low,15.49,0.98,0,Online Ads
T00090,C0255,2023-01-20,P331,Look,Clothing,2,79.59,Debit Card,Pending,159.18,34.0,Female,,Gold,17,1065.46,Fitness,2024-09-01,4.91,11.0,Low,6.33,0.33,0,Social Media - Facebook
T00091,C0332,2024-01-06,P625,Remember,Electronics,1,94.71,Credit Card,Pending,94.71,57.0,Male,Haroldland,Bronze,46,3321.85,Home Goods,2023-03-08,8.56,14.02,Medium,10.86,0.52,1,Outlet
T00092,C0436,2024-12-04,P634,Word,Clothing,3,48.02,Debit Card,Canceled,144.06,37.0,Male,Lake Christopher,Silver,65,5693.12,Fitness,2024-08-30,8.7,24.82,High,11.9,0.41,0,Outlet
T00093,C0426,2023-10-07,P538,Friend,Home Goods,4,462.32,Apple Pay,Canceled,1849.28,50.0,Female,Caldwellport,Platinum,53,9010.7,Home Goods,2023-01-21,7.85,25.39,High,6.26,0.44,1,Online Ads
T00094,C0304,2024-01-04,P395,Board,Accessories,3,131.14,Debit Card,Pending,393.41999999999996,34.0,Male,Adamsstad,,4,5325.42,Accessories,2024-04-14,9.31,12.43,Medium,14.62,0.52,1,Social Media - TikTok
T00095,C0281,2024-07-29,P485,Suffer,Fitness,3,123.31,Credit Card,,369.93,22.0,Male,Theresaview,Bronze,5,705.81,Fitness,2024-08-24,8.16,16.55,Medium,13.38,0.4,1,Online Ads
T00096,C0151,2024-03-02,P914,Expect,Home Goods,2,71.56,Apple Pay,Canceled,143.12,20.0,Female,South Joshuatown,Gold,59,2652.16,Electronics,2023-08-03,3.05,22.68,High,18.82,0.8,1,Online Ads
T00097,C0178,2024-08-07,P795,Foot,Fitness,2,129.31,Apple Pay,Completed,258.62,59.0,Male,West Carriemouth,Platinum,71,6940.69,Home Goods,2023-08-28,4.62,15.3,Medium,9.97,0.32,1,Outlet
T00098,C0054,2024-08-16,P550,Development,Fitness,3,237.76,Debit Card,Canceled,713.28,46.0,Male,Beanfort,Silver,21,3366.83,Accessories,2024-09-27,6.73,18.87,Medium,9.46,0.65,1,Social Media - X
T00099,C0214,2024-09-14,P402,Trip,Accessories,2,63.01,Debit Card,Pending,126.02,24.0,Female,South Louis,Gold,38,490.06,Clothing,2023-08-18,6.69,5.09,Low,12.21,0.99,0,Outlet
T00100,C0095,2023-08-12,P922,Friend,Electronics,4,263.22,Credit Card,Canceled,1052.88,,Male,Holmesland,Platinum,45,972.66,Electronics,2023-11-28,6.64,13.66,Low,12.08,0.89,1,Social Media - X
T00101,C0338,2023-10-18,P383,Wind,Clothing,4,161.75,PayPal,Pending,647.0,53.0,Female,,Gold,46,7910.59,Accessories,2024-11-21,1.37,17.91,High,7.54,0.47,1,Online Ads
T00102,C0167,2024-06-09,P564,Off,Electronics,3,138.35,Apple Pay,Canceled,415.04999999999995,39.0,Male,North Timothyborough,Silver,78,7859.9,Accessories,2023-07-24,8.35,9.98,High,3.88,0.68,0,Social Media - X
T00103,C0382,2025-01-13,P799,Receive,Accessories,1,105.61,PayPal,Completed,105.61,55.0,Male,West Samantha,Bronze,80,7990.28,Accessories,2023-03-20,8.62,27.15,High,16.46,0.42,0,Social Media - Instagram
T00104,C0194,2024-02-26,P310,Wrong,Fitness,1,296.64,Credit Card,Canceled,296.64,47.0,,Michaelberg,Silver,68,4898.5,Fitness,2023-11-11,8.62,26.57,Low,9.66,0.61,0,Outlet
T00105,C0242,2024-05-27,P243,Truth,Clothing,3,195.28,PayPal,Completed,585.84,42.0,Male,Lake Johnland,Gold,31,451.03,Home Goods,2023-06-30,9.94,5.16,Low,18.48,0.82,1,Social Media - X
T00106,C0069,2024-09-04,P398,Despite,Accessories,2,372.44,Apple Pay,Canceled,744.88,63.0,Male,Lisastad,Platinum,77,6897.96,Clothing,2023-11-09,4.68,11.83,Low,12.03,0.53,0,Social Media - TikTok
T00107,C0110,2024-03-01,P820,Research,Accessories,3,99.58,PayPal,Completed,298.74,47.0,Male,South Alexandraborough,Silver,60,3997.31,Accessories,2024-03-12,7.68,27.7,High,7.26,0.65,0,Online Ads
T00108,C0426,2023-07-26,P308,Myself,Home Goods,5,421.74,,Completed,2108.7,50.0,Female,Caldwellport,Platinum,53,9010.7,Home Goods,2023-01-21,7.85,25.39,High,6.26,0.44,1,Online Ads
T00109,C0428,2023-07-31,P264,Expect,Accessories,5,336.66,Debit Card,Pending,1683.3000000000002,19.0,Female,Gracemouth,Silver,52,8827.82,Fitness,2023-07-07,5.9,10.46,Medium,19.26,0.32,0,Online Ads
T00110,C0235,2024-01-18,P333,Early,Clothing,3,434.05,Credit Card,Canceled,1302.15,53.0,Female,South Meganside,Platinum,13,6979.8,Fitness,2023-05-03,7.15,13.12,Low,6.53,0.78,0,Social Media - Instagram
T00111,C0060,2024-07-12,P708,Million,Home Goods,5,457.2,PayPal,Pending,2286.0,41.0,Male,Duncanburgh,Platinum,57,6292.13,Electronics,2023-11-11,5.24,15.47,High,7.14,0.67,0,Social Media - Instagram
T00112,C0348,2023-02-18,P749,Sea,Fitness,3,480.41,PayPal,Completed,1441.23,52.0,Female,,Silver,76,6881.5,Home Goods,2023-09-29,2.0,23.2,High,10.51,0.76,1,Online Ads
T00113,C0405,2023-12-08,P177,,Clothing,2,296.05,Debit Card,Canceled,592.1,53.0,Male,West Jessicaville,Bronze,50,4982.8,Accessories,2023-03-26,5.0,10.26,Medium,2.89,0.72,0,Online Ads
T00114,C0049,2024-07-17,P660,,Electronics,2,53.99,Credit Card,Completed,107.98,63.0,Female,East Kimberlyshire,Silver,32,5879.89,Clothing,2024-09-15,7.6,13.12,Low,16.44,0.64,1,Social Media - X
T00115,C0038,2024-01-27,P382,Her,Accessories,2,50.41,Apple Pay,Completed,100.82,22.0,Male,West Laura,Gold,8,1957.55,Electronics,2023-07-30,4.34,14.47,Medium,3.38,0.56,1,Outlet
T00116,C0247,2024-08-30,P187,Practice,Home Goods,1,156.69,,Completed,156.69,61.0,Female,Terrancemouth,Platinum,88,5795.29,Electronics,2024-07-07,8.38,22.73,High,17.6,0.48,1,Social Media - Instagram
T00117,C0096,2023-05-19,P159,Far,Electronics,3,127.11,Apple Pay,Canceled,381.33,46.0,Male,Elliottmouth,Platinum,94,7128.71,Clothing,2023-06-08,8.18,5.39,High,17.45,0.71,0,Outlet
T00118,C0474,2024-01-21,P674,Eat,Clothing,1,59.36,PayPal,Completed,59.36,37.0,Female,New Thomas,Silver,95,5500.36,Home Goods,2024-05-26,3.83,14.73,High,17.25,0.96,0,Outlet
T00119,C0096,2024-11-24,P746,Do,Accessories,1,441.94,Apple Pay,Canceled,441.94,46.0,Male,Elliottmouth,Platinum,94,7128.71,Clothing,2023-06-08,8.18,5.39,High,17.45,0.71,0,Outlet
T00120,C0288,2023-03-09,P945,Skin,Clothing,2,301.22,PayPal,Canceled,602.44,,Female,Lake Christopher,,7,596.46,Fitness,2024-07-19,9.69,11.03,Medium,2.45,0.9,0,Online Ads
T00121,C0474,2024-12-16,P366,Remember,Fitness,5,468.45,PayPal,Completed,2342.25,37.0,Female,New Thomas,Silver,95,5500.36,Home Goods,2024-05-26,3.83,14.73,High,17.25,0.96,0,Outlet
T00122,C0165,2024-08-12,P774,College,Clothing,5,37.58,Credit Card,,187.89999999999998,20.0,Female,Carlaborough,Platinum,10,1901.55,Fitness,2024-03-06,4.26,5.78,Medium,10.53,0.87,0,Social Media - TikTok
